Title,English Name,Synonyms,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Versailles no Bara,,,TV,4.0,,,,,8.34
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",,,Special,1.0,,,,,8.34
Bakuman. 2nd Season,,,TV,2.0,,,,,8.34
Fumetsu no Anata e,,,TV,2.0,,,,,8.34
Girls & Panzer: Saishuushou Part 4,,,Movie,1.0,,,,,8.34
IDOLiSH7 Third Beat! Part 2,,,TV,1.0,,,,,8.34
Kage no Jitsuryokusha ni Naritakute! 2nd Season,,,TV,1.0,,,,,8.34
Make Heroine ga Oosugiru!,,,TV,1.0,,,,,8.34
Kidou Senshi Gundam: The Origin,,,OVA,6.0,,,,,8.33
Kiseijuu: Sei no Kakuritsu,,,TV,2.0,,,,,8.33
Natsume Yuujinchou: Itsuka Yuki no Hi ni,,,OVA,1.0,,,,,8.33
One Outs,,,TV,2.0,,,,,8.33
Psycho-Pass,,,TV,2.0,,,,,8.33
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,,,TV,1.0,,,,,8.33
Usagi Drop,,,TV,1.0,,,,,8.33
Wu Shan Wu Xing: Xichuan Huan Zi Lin,,,ONA,4.0,,,,,8.33
Douluo Dalu 2nd Season,,,ONA,2.0,,,,,8.33
Dr. Stone: New World Part 2,,,TV,1.0,,,,,8.33
Hibike! Euphonium 2,,,TV,1.0,,,,,8.33
Bakemonogatari,,,TV,1.0,,,,,8.32
Fate/stay night: Unlimited Blade Works 2nd Season,,,TV,1.0,,,,,8.32
Kaijuu 8-gou,,,TV,1.0,,,,,8.32
Major S6,,,TV,2.0,,,,,8.32
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,,,Movie,1.0,,,,,8.32
Tensei shitara Slime Datta Ken 2nd Season Part 2,,,TV,1.0,,,,,8.32
Uchuu Senkan Yamato 2199,,,OVA,2.0,,,,,8.32
Violet Evergarden: Recollections,,,Special,1.0,,,,,8.31
86,,,TV,1.0,,,,,8.31
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,,,Movie,1.0,,,,,8.31
Given,,,TV,1.0,,,,,8.31
Hunter x Hunter: Original Video Animation,,,OVA,8.0,,,,,8.31
Natsume Yuujinchou Go Specials,,,Special,2.0,,,,,8.31
NHK ni Youkoso!,,,TV,2.0,,,,,8.31
Ookami to Koushinryou II,,,TV,1.0,,,,,8.31
Romeo no Aoi Sora,,,TV,3.0,,,,,8.31
Sasaki to Miyano Movie: Sotsugyou-hen,,,Movie,1.0,,,,,8.31
